State,"Number
of Participating
Agencies ","Population
Covered ",Person Offenses Total,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex
Offenses",Property Offenses Total,Arson,Bribery,"Burglary/
Breaking
& Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism ",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses",Society Offenses Total,"Animal
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon
Law
Violations"
Total,"11,794","215,058,917","2,939,412","2,706,772","16,537","2,141","36,919","177,043",6531976,26491,739,584913,107047,1283633,22610,12270,761698,2967229,554618,121103,89625,1620563,16497,1290858,1815,31873,11565,267955
Alabama,356,"3,734,077","70,855","68,366",381,18,388,"1,702",122274,456,11,12491,2483,27112,124,122,10712,55804,9902,1481,1576,30075,351,25687,13,286,39,3699
Alaska,30,"402,557","6,858","5,945",31,2,29,851,7301,59,2,786,122,2199,22,34,602,2761,611,72,31,1730,20,1229,0,36,18,427
Arizona,79,"3,949,562","45,372","40,946",235,7,706,"3,478",104648,413,11,8763,1231,22229,261,256,14733,48802,5818,1129,1002,34213,396,29650,0,749,164,3254
Arkansas,285,"2,916,168","66,379","62,317",339,6,658,"3,059",123785,557,2,14101,3056,27186,88,59,12169,54687,8110,1272,2498,38618,30,34344,21,490,101,3632
California,15,"2,861,998","32,707","29,983",126,0,576,"2,022",81313,407,2,7103,960,14837,225,148,7873,34122,11272,2300,2064,25946,40,21994,4,54,380,3474
Colorado,235,"5,766,585","70,645","60,730",434,63,"2,528","6,890",295735,1341,113,22988,3037,55838,329,887,41910,120385,40851,4310,3746,34379,860,24110,6,927,296,8180
Connecticut,107,"3,605,597","31,205","28,878",164,13,282,"1,868",84370,163,5,5100,1120,16425,191,183,8528,41977,7407,1930,1341,10693,149,7220,4,239,37,3044
Delaware,62,"1,003,384","16,740","15,724",108,5,198,705,40185,155,5,2371,389,9217,116,64,9756,15395,1609,570,538,12571,1280,8902,38,97,27,2227
District of Columbia,2,"670,050","10,204","9,761",109,0,29,305,24749,5,1,760,140,7923,0,33,3390,9400,1716,1205,176,2188,7,654,3,27,0,1497
Florida1,2,,427,405,0,0,6,16,969,0,0,22,6,99,6,0,78,662,50,24,22,192,2,162,0,2,1,25
Georgia,447,"8,709,490","123,610","113,071",794,171,"2,262","7,312",243173,688,26,18452,5436,43926,451,331,33582,114819,17985,4053,3424,54557,1180,44766,31,1208,287,7085
Hawaii,2,"1,059,012","11,661","10,707",8,5,295,646,35378,325,2,3463,395,1053,29,113,4170,20064,4286,734,744,3019,49,2137,329,81,31,392
Idaho,110,"1,889,225","17,815","15,311",46,4,220,"2,234",31407,140,3,2811,627,6959,118,90,5252,13226,1618,156,407,27036,58,25531,0,262,36,1149
Illinois,328,"7,845,636","91,087","86,266",536,7,633,"3,645",156781,541,6,11465,1849,42370,67,171,24685,57784,11430,5955,458,17855,89,11375,1,540,95,5755
Indiana,190,"5,229,123","67,873","60,965",495,58,"1,578","4,777",123469,720,19,11661,1800,10585,487,141,16032,65136,12585,2905,1398,50117,627,41868,289,747,116,6470
Iowa,205,"2,927,835","32,743","30,201",96,14,235,"2,197",74513,327,72,7659,2565,15845,189,87,7832,32882,5799,681,575,23455,149,20714,6,429,41,2116
Kansas,334,"2,614,220","37,482","34,002",95,0,"1,195","2,190",85034,433,6,6364,2457,22556,418,347,10446,34286,5681,645,1395,30757,0,27863,5,381,114,2394
Kentucky,426,"4,505,498","48,846","44,032",426,38,"1,179","3,171",114954,418,42,12659,1962,20219,1103,111,9652,51527,11100,2238,3923,47562,215,43248,37,582,65,3415
Louisiana,136,"3,321,430","56,353","53,294",477,8,630,"1,944",112262,255,13,15497,1922,21654,740,218,6063,54699,7497,1348,2356,40033,302,32035,61,808,198,6629
Maine,129,"1,366,119","13,310","12,209",30,2,25,"1,044",26094,165,2,1713,460,6209,37,36,3102,13207,891,161,111,4796,46,4214,1,137,16,382
Maryland,18,"2,902,491","27,379","25,455",153,4,61,"1,706",64600,192,3,3691,1092,13445,272,157,10740,28682,4026,1701,599,9629,284,7697,0,118,59,1471
